dataset,features,degree,runtime_seconds,gap,lazy_count,fdr,tpr,fpr,shd,nnz,precision,f1score,g_score
static_er_gauss_15,15,1,12.210433959960938,1.2573361961107146e-08,12,0.5,0.5,0.0029806259314456036,2.5,4,0.5,0.5,0.0
static_er_gauss_15,15,2,15.206853866577148,0.0009251115744047613,19,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,3,17.518322944641113,0.0006388279533155765,12,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,4,20.66996717453003,0.0007614759672254885,33,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,5,18.14319396018982,0.0005730827326761136,12,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,6,19.15987992286682,0.0006695010323074854,66,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,7,20.484494924545288,0.0005122634747987598,96,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,8,21.292212963104248,0.0006135278924213604,10,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,9,20.65023112297058,0.0007106656719517002,145,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,10,26.79104208946228,0.0008417339985376376,14,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,11,25.158387899398804,0.0009691419066247193,14,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,12,26.074437856674194,0.0007133877547260689,14,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,13,22.616393089294434,0.0008688469744401521,12,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,14,21.497626066207886,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,15,17.756953716278076,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,16,16.597865104675293,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,17,22.52663803100586,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,18,23.604476928710938,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,19,24.084371089935303,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,20,21.571327924728394,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,21,22.484171152114868,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,22,18.498865127563477,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,23,19.329752206802368,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,24,20.82676410675049,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,25,21.098026037216187,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,26,23.630535125732422,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,27,24.361335039138794,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,28,24.77938985824585,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,29,27.04145121574402,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,30,26.4841091632843,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,31,19.336379051208496,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,32,18.63703966140747,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,33,18.448039293289185,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,34,21.15556526184082,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
static_er_gauss_15,15,35,22.39271903038025,0.0006142000967832343,181,0.0,1.0,0.0,0,4,1.0,1.0,1.0
